lon,lat,horizontalOrientation,verticalOrientation,height,horizontalFOV,verticalFOV
12.635885999999998,55.68778400000001,53.0,-2,40,60,35.98
12.629928654505695,55.696111638480666,83.0,-2,40,60,35.98
